name,location,comments count,speed,service,flavour,mean
" Hey Döner & Hey Burger, Bağcılar (İnönü Mah.) ",istanbul/bahcelievler-sirinevler-mah,590,9.3,9.0,9.0,9.1
" Bolulu Hasan Usta, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bahcelievler-sirinevler-mah,182,9.1,9.1,9.1,9.1
" Cunda Muhallebicisi, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,15,,9.0,9.2,9.1
" Ercan Burger, Bahçelievler (Çobançeşme Mah.) ",istanbul/bahcelievler-sirinevler-mah,111,9.2,9.1,9.0,9.1
" Dönerci Celal Usta, Bakırköy (Zuhuratbaba Mah. - İncirli) ",istanbul/bahcelievler-sirinevler-mah,351,9.0,9.1,9.1,9.1
" Mersin Yaprak Tantuni, Bahçelievler (Yenibosna Merkez Mah. - Basın Ekspres Yolu) ",istanbul/bahcelievler-sirinevler-mah,1053,9.0,9.1,9.0,9.0
" Sandwich Club, Bakırköy (Kartaltepe Mah.) ",istanbul/bahcelievler-sirinevler-mah,545,9.2,9.0,9.0,9.1
" Seren Cafe & Börek, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bahcelievler-sirinevler-mah,230,9.2,9.0,8.9,9.0
" Aslı Börek, Bakırköy (Şenlikköy Mah. - Florya) ",istanbul/bahcelievler-sirinevler-mah,11,9.2,9.1,8.9,9.1
" Eskin Kardeşler Börek & Pide, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,67,9.3,8.9,8.9,9.0
" Derya Börek, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bahcelievler-sirinevler-mah,84,9.2,9.0,8.9,9.0
" Etçi Hacı Restaurant, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bahcelievler-sirinevler-mah,211,9.0,9.1,8.9,9.0
" Le Monde Du Tacos, Bahçelievler (Yenibosna Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,460,8.9,9.1,9.0,9.0
" Green Salads, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,104,9.0,9.1,8.9,9.0
" Pişir Getir, Bağcılar (Bağlar Mah.) ",istanbul/bahcelievler-sirinevler-mah,70,9.1,9.0,8.9,9.0
" Aone Tantuni, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,226,9.2,9.0,8.8,9.0
" Emmim Develi Cıvıklısı, Küçükçekmece (Yeşilova Mah.) ",istanbul/bahcelievler-sirinevler-mah,46,9.1,9.0,8.9,9.0
" Burger King, Bahçelievler (Kocasinan Mah.) ",istanbul/bahcelievler-sirinevler-mah,712,9.2,9.0,8.8,9.0
" Terra Pizza - Pizza Pizza, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,316,9.1,9.0,8.8,9.0
" Köfteci Alibaba, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,47,9.1,8.8,9.0,9.0
" Bahçe Büfe, Bakırköy (Zuhuratbaba Mah. - İncirli) ",istanbul/bahcelievler-sirinevler-mah,471,9.0,8.9,9.0,9.0
" Cızbız Köfte, Bakırköy (Ataköy 9. Kısım) ",istanbul/bahcelievler-sirinevler-mah,154,9.2,8.8,8.8,8.9
" Burger Black, Bakırköy (Zuhuratbaba Mah. - İncirli) ",istanbul/bahcelievler-sirinevler-mah,180,8.9,9.0,9.0,9.0
" Pasta Sanatı, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bahcelievler-sirinevler-mah,297,9.0,9.0,8.9,9.0
" Baklavacı Mehmet Yıldırım, Bakırköy (Ataköy 9. Kısım) ",istanbul/bahcelievler-sirinevler-mah,32,8.8,9.0,9.1,9.0
" Andok Et Mangal Dünyası, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,224,9.3,8.9,8.7,9.0
" Hanzade Baklava & Sütlü Tatlı, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,276,9.1,9.2,8.6,9.0
" Köroğlu Gurme, Bakırköy (Ataköy 5. Kısım) ",istanbul/bahcelievler-sirinevler-mah,34,9.0,8.8,9.0,8.9
