name,location,comments count,speed,service,flavour,mean
" Mersin Yaprak Tantuni, Bakırköy (Kartaltepe Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,467,9.4,9.2,9.2,9.3
" Burger King, Bakırköy (Zeytinlik Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,636,9.4,9.2,9.2,9.3
" Oses Çiğ Köfte, Bakırköy (Osmaniye Mah. - Fabrikalar Cad.) ",istanbul/bakirkoy-atakoy-3-kisim,62,9.3,9.2,9.3,9.3
" Gala Kokoreç, Bakırköy (Cevizlik Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,469,9.5,9.3,9.0,9.3
" Asos Burger, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,138,9.3,9.3,9.2,9.3
" Burger Murger, Bahçelievler (Merkez Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,212,9.4,9.2,9.1,9.2
" Suadiye Marmaris, Bakırköy (Yeşilköy Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,273,9.4,9.2,9.0,9.2
" Köroğlu, Bakırköy (Şenlikköy Mah. - Florya) ",istanbul/bakirkoy-atakoy-3-kisim,422,9.2,9.3,9.2,9.2
" Oses Çiğ Köfte, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,25,9.3,9.2,9.1,9.2
" Gaziantepli Mehmet Bey Baklavaları, Güngören (Haznedar Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,73,9.4,9.2,9.0,9.2
" Taksim Hamburger, Bakırköy (Zuhuratbaba Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,463,9.3,9.2,9.1,9.2
" Hiroshi Sushi, Bakırköy (Şenlikköy Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,467,9.3,9.3,9.0,9.2
" Oses Çiğ Köfte, Bahçelievler (Şirinevler Mah. - Çavuşpaşa Cad.) ",istanbul/bakirkoy-atakoy-3-kisim,69,9.2,9.2,9.2,9.2
" Lavissa, Bahçelievler (Siyavuşpaşa Mah. - Yayla) ",istanbul/bakirkoy-atakoy-3-kisim,97,9.4,9.3,8.9,9.2
" Bitez Dondurma, Bakırköy (Yeşilköy Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,21,9.4,9.3,8.9,9.2
" Pizza Hut, Bakırköy (Ataköy 5. Kısım) ",istanbul/bakirkoy-atakoy-3-kisim,648,9.3,9.2,9.1,9.2
" Pizzalive, Bahçelievler (Soğanlı Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,282,9.2,9.2,9.1,9.2
" Pardi Cafe & Restaurant, Bakırköy (Ataköy 10. Kısım) ",istanbul/bakirkoy-atakoy-3-kisim,125,9.2,9.3,8.9,9.1
" Dürüm Ye, Bahçelievler (Merkez Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,653,9.4,9.1,9.0,9.2
" Papa John's Pizza, Bakırköy (Ataköy 7. Kısım) ",istanbul/bakirkoy-atakoy-3-kisim,179,9.2,9.2,9.0,9.1
" İnci Profiterol, Bakırköy (Şenlikköy Mah. - Florya) ",istanbul/bakirkoy-atakoy-3-kisim,84,9.2,9.3,8.9,9.1
" Oses Çiğ Köfte, Bahçelievler (Şirinevler Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,30,9.0,9.2,9.2,9.1
" Beylerbeyi Profiterol, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,319,9.0,9.2,9.2,9.1
" Park Büfe, Bakırköy (Yeşilyurt Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,107,9.1,9.1,9.2,9.1
" Burger Mienyu, Bakırköy (Yeşilköy Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,93,9.2,9.2,9.0,9.1
" Little Caesars Pizza, Bakırköy (Ataköy 8. Kısım) ",istanbul/bakirkoy-atakoy-3-kisim,448,9.1,9.2,9.0,9.1
" Bolulu Hasan Usta, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bakirkoy-atakoy-3-kisim,184,9.1,9.1,9.1,9.1
" Burger King, Bakırköy (Kartaltepe Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,830,9.4,9.0,8.9,9.1
" Gurme Box, Küçükçekmece (Cennet Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,301,9.2,9.0,9.0,9.1
" Marmaris Büfe 1964, Bakırköy (Kartaltepe Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,376,9.3,9.1,8.8,9.1
" Komagene Etsiz Çiğ Köfte, Bakırköy (Osmaniye Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,21,,9.2,9.0,9.1
